object_location,objectid,display_template,format,type,title,description,subject,date,creator,bigsub,classification,Publisher,Journal,location,latitude,longitude,area
,,,,,De trans pra frente,,,2017,Dodi Leal,Book,,Patúa,,,,,
,,,,,"Devorações - descolonizando corpos, desejos e escritas",,,2018,Castiel Vitorino,Book,,Issu,,,,,
,,,,,"Eu, travesti: Memórias de Luísa Marilac",,,2019,Luísa Marilac; Nana Queiroz,Book,,Record,,,,,
,,,,,Molhado de vermelho: poemas de transição,,,2019,Guilherme Almeida,Book,,Devires,,,,,
,,,,,Crianças trans: infâncias possíveis,,,2020,Sofia Favero,Book,,Devires,,,,,
,,,,,Nem ao centro nem a margem – corpos que escapam às normas de raça e gênero,,,2020,Megg Rayara Gomes de Oliveira,Book,,Devires,,,,,
,,,,,O diabo em forma de gente – (r)resistências de gays afeminados na educação,,,2020,Megg Rayara Gomes de Oliveira,Book,,Devires,,,,,
,,,,,Pajubá-terapia: ensaios sobre a cisnorma,,,2020,Sofia Favero,Book,,Editora,,,,,
,,,,,Pedagogia da desobediência – travestilizando a educação,,,2020,Thiffany Odara,Book,,Devires,,,,,
,,,,,Bajubá Odara – resumo histórico do nascimento do movimento de travestis no Brasil,,,2021,Jovana Baby Cardoso da Silva,Book,,FONATRANS,,,,,
,,,,,"Esse sangue não é de menstruação, mas de transfobia",,,2021,Maria Lucas,Book,,Urutau,,,,,
,,,,,Ex/orbitâncias: os caminhos da deserção de gênero,,,2021,Abigail Campos Leal,Book,,GLAC edições,,,,,
,,,,,Não vão nos matar agora,,,2021,Jota Mombaça,Book,,Cobogó,,,,,
,,,,,Transfeminismo,,,2021,Letícia Carolina Nascimento,Book,,Jandaíra,,,,,
,,,,,Fernanda Benvenutty: uma política travesti,,,2022,Fernanda Benvenutty; Silvana Nascimento; Lux Lima,Book,,Patuá,,,,,
,,,,,Mais uma casa de bonecas,,,2022,Maria Lucas,Book,,Urutau,,,,,
,,,,,Manifesto transpofágico,,,2022,Renata Carvalho,Book,,editora monstra,,,,,
,,,,,Pedagogias das travestilidades,,,2022,Maria Clara Araújo,Book,,Civilização Brasileira,,,,,
,,,,,Psicologia suja,,,2022,Sofia Favero,Book,,Devires,,,,,
,,,,,Quando o sol aqui não mais brilhar: a falência da negritude,,,2022,Castiel Vitorino Brasileiro,Book,,n-1 edições,,,,,
